JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241121 300  194500-195000   00     340.49  638.5    329.46    -0.72    -0.57
JUNGFRAU1  241121 300  195000-195500   00     346.43  637.6    332.98     0.35     0.49
JUNGFRAU1  241121 300  195500-200000   00     343.51  638.3    332.03     0.06     0.21
JUNGFRAU1  241121 300  200000-200500   00     343.10  638.6    332.25     0.12     0.28
JUNGFRAU1  241121 300  200500-201000   00     343.23  638.8    332.95     0.34     0.49
JUNGFRAU1  241121 300  201000-201500   00     342.23  638.7    331.68    -0.05     0.11
JUNGFRAU1  241121 300  201500-202000   00     343.14  638.8    332.82     0.30     0.46
JUNGFRAU1  241121 300  202000-202500   00     345.42  639.0    335.49     1.10     1.26
JUNGFRAU1  241121 300  202500-203000   00     346.45  638.8    336.05     1.27     1.44
JUNGFRAU1  241121 300  203000-203500   00     340.87  638.5    329.88    -0.59    -0.42
JUNGFRAU1  241121 300  203500-204000   00     346.42  638.2    334.61     0.84     1.01
JUNGFRAU1  241121 300  204000-204500   00     341.47  638.3    330.12    -0.52    -0.34
JUNGFRAU1  241121 300  204500-205000   00     343.17  638.1    331.24    -0.18     0.00
JUNGFRAU1  241121 300  205000-205500   00     344.32  638.0    331.93     0.03     0.21
JUNGFRAU1  241121 300  205500-210000   00     345.45  637.9    333.02     0.36     0.54
JUNGFRAU1  241121 300  210000-210500   00     342.70  637.7    329.71    -0.64    -0.45
JUNGFRAU1  241121 300  210500-211000   00     341.91  637.7    328.86    -0.90    -0.71
JUNGFRAU1  241121 300  211000-211500   00     346.13  637.9    333.43     0.48     0.67
JUNGFRAU1  241121 300  211500-212000   00     347.17  638.3    335.40     1.07     1.27
JUNGFRAU1  241121 300  212000-212500   00     341.50  638.6    330.84    -0.30    -0.10
JUNGFRAU1  241121 300  212500-213000   00     341.95  638.5    330.70    -0.34    -0.14
JUNGFRAU1  241121 300  213000-213500   00     345.47  638.5    334.49     0.80     1.01
JUNGFRAU1  241121 300  213500-214000   00     344.17  638.1    332.18     0.10     0.31
JUNGFRAU1  241121 300  214000-214500   00     340.77  638.0    328.60    -0.98    -0.77
JUNGFRAU1  241121 300  214500-215000   00     343.55  637.9    331.08    -0.23    -0.01
JUNGFRAU1  241121 300  215000-215500   00     344.82  638.0    332.50     0.20     0.42
JUNGFRAU1  241121 300  215500-220000   00     343.40  638.4    332.16     0.10     0.32
JUNGFRAU1  241121 300  220000-220500   00     344.15  638.3    332.62     0.23     0.46
JUNGFRAU1  241121 300  220500-221000   00     344.18  638.3    332.53     0.21     0.43
JUNGFRAU1  241121 300  221000-221500   00     339.40  638.5    328.37    -1.04    -0.82
JUNGFRAU1  241121 300  221500-222000   00     344.49  638.8    334.11     0.69     0.92
JUNGFRAU1  241121 300  222000-222500   00     341.73  638.8    331.53    -0.09     0.14
JUNGFRAU1  241121 300  222500-223000   00     342.57  638.9    332.49     0.20     0.43
JUNGFRAU1  241121 300  223000-223500   00     342.58  639.0    332.78     0.28     0.52
JUNGFRAU1  241121 300  223500-224000   00     338.56  639.1    329.06    -0.84    -0.59
JUNGFRAU1  241121 300  224000-224500   00     338.64  638.8    328.44    -1.02    -0.78
JUNGFRAU1  241121 300  224500-225000   00     343.45  638.5    332.45     0.18     0.43
JUNGFRAU1  241121 300  225000-225500   00     340.33  638.5    329.56    -0.68    -0.43
JUNGFRAU1  241121 300  225500-230000   00     339.84  638.1    327.96    -1.17    -0.92
JUNGFRAU1  241121 300  230000-230500   00     340.40  637.9    327.89    -1.19    -0.93
JUNGFRAU1  241121 300  230500-231000   00     338.56  639.2    329.30    -0.76    -0.51
JUNGFRAU1  241121 300  231000-231500   00     340.84  639.1    331.19    -0.19     0.07
JUNGFRAU1  241121 300  231500-232000   00     341.84  639.5    333.37     0.46     0.73
JUNGFRAU1  241121 300  232000-232500   00     341.80  638.8    331.54    -0.09     0.18
JUNGFRAU1  241121 300  232500-233000   00     341.74  639.2    332.47     0.19     0.46
JUNGFRAU1  241121 300  233000-233500   00     341.44  639.0    331.57    -0.08     0.19
JUNGFRAU1  241121 300  233500-234000   00     337.89  638.7    327.49    -1.31    -1.03
JUNGFRAU1  241121 300  234000-234500   00     345.10  639.1    335.37     1.07     1.34
JUNGFRAU1  241121 300  234500-235000   00     338.69  639.0    329.01    -0.85    -0.57
