SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    121.31      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 241121 300  223500-224000   00     124.17  679.1    123.44     1.75     1.75
SOPO-6NM64 241121 300  224000-224500   00     122.37  679.2    121.65     0.28     0.28
SOPO-6NM64 241121 300  224500-225000   00     123.11  679.1    122.39     0.89     0.89
SOPO-6NM64 241121 300  225000-225500   00     124.06  679.1    123.33     1.66     1.66
SOPO-6NM64 241121 300  225500-230000   00     122.22  679.1    121.46     0.12     0.12
SOPO-6NM64 241121 300  230000-230500   00     121.76  679.1    121.02    -0.24    -0.24
SOPO-6NM64 241121 300  230500-231000   00     123.63  679.1    122.87     1.29     1.29
SOPO-6NM64 241121 300  231000-231500   00     123.28  679.1    122.53     1.00     1.00
SOPO-6NM64 241121 300  231500-232000   00     122.77  679.1    122.04     0.60     0.60
SOPO-6NM64 241121 300  232000-232500   00     121.87  679.2    121.17    -0.12    -0.12
SOPO-6NM64 241121 300  232500-233000   00     122.77  679.1    122.03     0.59     0.59
SOPO-6NM64 241121 300  233000-233500   00     123.23  679.2    122.52     0.99     0.99
SOPO-6NM64 241121 300  233500-234000   00     122.59  679.2    121.91     0.49     0.49
SOPO-6NM64 241121 300  234000-234500   00     121.18  679.2    120.51    -0.66    -0.66
SOPO-6NM64 241121 300  234500-235000   00     122.69  679.2    122.03     0.59     0.59
SOPO-6NM64 241121 300  235000-235500   00     122.88  679.2    122.24     0.76     0.76
