YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    193.58      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    241122 300  011000-011500   00     174.59 1018.6    195.41     0.94     0.36
YAKUTSK    241122 300  011500-012000   00     172.91 1018.6    193.44    -0.07    -0.67
YAKUTSK    241122 300  012000-012500   00     174.51 1018.5    195.20     0.83     0.24
YAKUTSK    241122 300  012500-013000   00     171.81 1018.5    192.19    -0.72    -1.32
YAKUTSK    241122 300  013000-013500   00     174.67 1018.5    195.36     0.92     0.31
YAKUTSK    241122 300  013500-014000   00     174.53 1018.5    195.23     0.85     0.23
YAKUTSK    241122 300  014000-014500   00     174.21 1018.6    194.91     0.68     0.06
YAKUTSK    241122 300  014500-015000   00     174.16 1018.6    194.83     0.64     0.02
YAKUTSK    241122 300  015000-015500   00     174.45 1018.6    195.20     0.83     0.20
YAKUTSK    241122 300  015500-020000   00     172.48 1018.6    193.01    -0.30    -0.93
YAKUTSK    241122 3600 020000-030000   00     174.25 1018.5    194.89     0.67    -9999
YAKUTSK    241122 3600 030000-040000   00     175.14 1018.4    195.62     1.05    -9999
YAKUTSK    241122 3600 040000-050000   00     174.85 1018.2    195.08     0.77    -9999
YAKUTSK    241122 3600 050000-060000   00     175.73 1018.1    195.96     1.23    -9999
YAKUTSK    241122 3600 060000-070000   00     175.16 1018.1    195.26     0.87    -9999
YAKUTSK    241122 3600 070000-080000   00     175.22 1017.9    195.01     0.74    -9999
YAKUTSK    241122 3600 080000-090000   00     175.37 1017.8    195.06     0.76    -9999
YAKUTSK    241122 3600 090000-100000   00     175.70 1017.3    194.83     0.64    -9999
YAKUTSK    241122 3600 100000-110000   00     175.37 1017.0    194.01     0.22    -9999
YAKUTSK    241122 3600 110000-120000   00     175.07 1016.8    193.39    -0.10    -9999
YAKUTSK    241122 3600 120000-130000   00     176.02 1016.5    193.99     0.21    -9999
YAKUTSK    241122 3600 130000-140000   00     175.36 1016.1    192.78    -0.42    -9999
YAKUTSK    241122 3600 140000-150000   00     175.94 1015.9    193.08    -0.26    -9999
YAKUTSK    241122 3600 150000-160000   00     176.99 1015.6    193.75     0.08    -9999
YAKUTSK    241122 3600 160000-170000   00     176.88 1015.4    193.46    -0.07    -9999
YAKUTSK    241122 3600 170000-180000   00     177.44 1015.4    194.04     0.24    -9999
YAKUTSK    241122 3600 180000-190000   00     177.34 1015.4    193.88     0.15    -9999
YAKUTSK    241122 3600 190000-200000   00     176.74 1015.2    192.99    -0.31    -9999
YAKUTSK    241122 3600 200000-210000   00     177.13 1015.2    193.37    -0.11    -9999
YAKUTSK    241122 3600 210000-220000   00     177.73 1015.0    193.76     0.09    -9999
YAKUTSK    241122 3600 220000-230000   00     178.26 1014.9    194.26     0.35    -9999
YAKUTSK    241122 3600 230000-240000   00     178.80 1014.9    194.77     0.61    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076YKTK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
