DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    986.6   MB     COEFFICIENT   -0.739    % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     99.72      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    241121 300  234500-235000   00     106.62  974.3     97.38    -2.35    -0.93
DOURBES    241121 300  235000-235500   00     106.34  974.3     97.13    -2.59    -1.17
DOURBES    241121 300  235500-240000   00     108.89  974.4     99.49    -0.23     1.19
DOURBES    241122 300  000000-000500   00     110.19  974.4    100.71     0.99     2.41
DOURBES    241122 300  000500-001000   00     107.70  974.5     98.51    -1.21     0.20
DOURBES    241122 300  001000-001500   00     108.24  974.6     99.06    -0.66     0.75
DOURBES    241122 300  001500-002000   00     108.34  974.6     99.20    -0.52     0.89
DOURBES    241122 300  002000-002500   00     106.40  974.7     97.47    -2.25    -0.85
DOURBES    241122 300  002500-003000   00     106.76  974.9     97.91    -1.81    -0.41
DOURBES    241122 300  003000-003500   00     108.01  974.9     99.11    -0.61     0.78
DOURBES    241122 300  003500-004000   00     108.12  975.0     99.28    -0.44     0.95
DOURBES    241122 300  004000-004500   00     105.88  975.1     97.29    -2.43    -1.05
DOURBES    241122 300  004500-005000   00     107.12  975.2     98.48    -1.24     0.14
DOURBES    241122 300  005000-005500   00     108.08  975.3     99.41    -0.31     1.07
DOURBES    241122 300  005500-010000   00     106.63  975.3     98.14    -1.58    -0.21
DOURBES    241122 300  010000-010500   00     107.51  975.4     99.02    -0.70     0.66
DOURBES    241122 300  010500-011000   00     105.37  975.5     97.10    -2.62    -1.27
DOURBES    241122 300  011000-011500   00     107.59  975.6     99.20    -0.52     0.82
DOURBES    241122 300  011500-012000   00     108.29  975.6     99.89     0.17     1.51
DOURBES    241122 300  012000-012500   00     107.85  975.6     99.48    -0.24     1.09
DOURBES    241122 300  012500-013000   00     107.86  975.6     99.46    -0.26     1.06
DOURBES    241122 300  013000-013500   00     106.56  975.6     98.28    -1.45    -0.14
DOURBES    241122 300  013500-014000   00     107.09  975.6     98.78    -0.94     0.36
DOURBES    241122 300  014000-014500   00     106.14  975.7     97.92    -1.80    -0.51
DOURBES    241122 300  014500-015000   00     106.41  975.8     98.26    -1.46    -0.18
DOURBES    241122 300  015000-015500   00     105.74  975.8     97.66    -2.07    -0.80
DOURBES    241122 300  015500-020000   00     107.59  975.9     99.45    -0.27     0.99
DOURBES    241122 3600 020000-030000   00     106.13  976.1     98.26    -1.47    -9999
DOURBES    241122 3600 030000-040000   00     106.00  976.5     98.42    -1.30    -9999
DOURBES    241122 3600 040000-050000   00     106.67  976.9     99.31    -0.41    -9999
DOURBES    241122 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
DOURBES    241122 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
DOURBES    241122 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
DOURBES    241122 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
DOURBES    241122 3600 090000-100000   00     102.18  979.5     97.02    -2.71    -9999
DOURBES    241122 3600 100000-110000   00     104.00  979.9     99.04    -0.68    -9999
DOURBES    241122 3600 110000-120000   00     103.56  980.8     99.25    -0.47    -9999
