ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.7      % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.79      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       241122 3600 080000-090000   00     125.61  999.3    117.15    -0.55    -9999
ROME       241122 3600 090000-100000   00     125.40 1000.0    117.55    -0.21    -9999
ROME       241122 3600 100000-110000   00     125.17 1000.4    117.70    -0.08    -9999
ROME       241122 3600 110000-120000   00     124.51 1001.1    117.60    -0.17    -9999
ROME       241122 3600 120000-130000   00     123.89 1002.1    117.85     0.05    -9999
ROME       241122 3600 130000-140000   00     123.92 1002.5    118.25     0.39    -9999
ROME       241122 3600 140000-150000   00     122.83 1003.7    118.19     0.34    -9999
ROME       241122 3600 150000-160000   00     122.95 1005.0    119.38     1.34    -9999
ROME       241122 3600 160000-170000   00     120.89 1006.7    118.73     0.80    -9999
ROME       241122 3600 170000-180000   00     120.09 1008.2    119.18     1.18    -9999
ROME       241122 3600 180000-190000   00     118.94 1009.4    119.03     1.05    -9999
ROME       241122 3600 190000-200000   00     117.73 1010.7    118.95     0.99    -9999
ROME       241122 3600 200000-210000   00     115.65 1012.1    118.00     0.18    -9999
ROME       241122 3600 210000-220000   00     114.95 1013.7    118.59     0.68    -9999
ROME       241122 3600 220000-230000   00     113.59 1014.9    118.13     0.28    -9999
ROME       241122 3600 230000-240000   00     112.43 1016.0    117.85     0.05    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076ROME_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
