DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.26      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       241122 300  000500-001000   00       3.32  640.7      4.18    -2.03    -3.22
DOMB       241122 300  001000-001500   00       3.45  640.8      4.33     1.45     0.28
DOMB       241122 300  001500-002000   00       3.45  640.8      4.33     1.41     0.26
DOMB       241122 300  002000-002500   00       3.38  640.8      4.25    -0.39    -1.51
DOMB       241122 300  002500-003000   00       3.42  640.8      4.29     0.47    -0.62
DOMB       241122 300  003000-003500   00       3.50  640.9      4.38     2.62     1.55
DOMB       241122 300  003500-004000   00       3.38  640.9      4.25    -0.47    -1.51
DOMB       241122 300  004000-004500   00       3.37  640.9      4.22    -0.94    -1.95
DOMB       241122 300  004500-005000   00       3.47  640.9      4.33     1.64     0.66
DOMB       241122 300  005000-005500   00       3.28  641.0      4.13    -3.20    -4.16
DOMB       241122 300  005500-010000   00       3.33  641.0      4.18    -1.91    -2.84
DOMB       241122 300  010000-010500   00       3.38  641.0      4.24    -0.66    -1.56
DOMB       241122 300  010500-011000   00       3.53  641.1      4.40     3.24     2.38
DOMB       241122 300  011000-011500   00       3.58  641.0      4.46     4.49     3.66
DOMB       241122 300  011500-012000   00       3.62  641.1      4.49     5.28     4.48
DOMB       241122 300  012000-012500   00       3.35  641.1      4.19    -1.68    -2.44
DOMB       241122 300  012500-013000   00       3.33  641.3      4.18    -2.07    -2.80
DOMB       241122 300  013000-013500   00       3.55  641.3      4.42     3.52     2.83
DOMB       241122 300  013500-014000   00       3.18  641.2      4.00    -6.10    -6.75
DOMB       241122 300  014000-014500   00       3.62  641.3      4.49     5.16     4.54
DOMB       241122 300  014500-015000   00       3.47  641.3      4.32     1.25     0.67
DOMB       241122 300  015000-015500   00       3.62  641.4      4.49     5.16     4.62
DOMB       241122 300  015500-020000   00       3.22  641.5      4.04    -5.31    -5.81
DOMB       241122 3600 020000-030000   00       3.40  641.6      4.25    -0.47    -9999
DOMB       241122 3600 030000-040000   00       3.38  641.9      4.22    -1.02    -9999
DOMB       241122 3600 040000-050000   00       3.37  642.5      4.20    -1.56    -9999
DOMB       241122 3600 050000-060000   00       3.38  642.9      4.22    -0.94    -9999
DOMB       241122 3600 060000-070000   00       3.37  643.4      4.22    -0.94    -9999
DOMB       241122 3600 070000-080000   00       3.35  643.9      4.23    -0.86    -9999
DOMB       241122 3600 080000-090000   00       3.35  644.1      4.25    -0.47    -9999
DOMB       241122 3600 090000-100000   00       3.33  644.5      4.24    -0.51    -9999
DOMB       241122 3600 100000-110000   00       3.25  644.9      4.17    -2.23    -9999
DOMB       241122 3600 110000-120000   00       3.28  645.3      4.24    -0.55    -9999
