MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    778.58  MB     COEFFICIENT   -0.95     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    212.26      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 241121 300  213500-214000   00     215.31  776.1    211.38    -0.41    -0.41
MEXICOCITY 241121 300  214000-214500   00     214.53  776.0    210.49    -0.83    -0.83
MEXICOCITY 241121 300  214500-215000   00     218.45  776.0    214.34     0.98     0.98
MEXICOCITY 241121 300  215000-215500   00     212.92  776.0    208.88    -1.59    -1.59
MEXICOCITY 241121 300  215500-220000   00     218.05  776.0    213.95     0.80     0.80
MEXICOCITY 241121 300  220000-220500   00     215.82  775.9    211.64    -0.29    -0.29
MEXICOCITY 241121 300  220500-221000   00     216.74  775.9    212.51     0.12     0.12
MEXICOCITY 241121 300  221000-221500   00     219.19  775.9    214.91     1.25     1.25
MEXICOCITY 241121 300  221500-222000   00     212.15  775.9    208.01    -2.00    -2.00
MEXICOCITY 241121 300  222000-222500   00     214.00  775.9    209.83    -1.14    -1.14
MEXICOCITY 241121 300  222500-223000   00     215.77  775.9    211.55    -0.33    -0.33
MEXICOCITY 241121 300  223000-223500   00     216.80  775.9    212.57     0.15     0.15
MEXICOCITY 241121 300  223500-224000   00     217.46  775.9    213.22     0.45     0.45
MEXICOCITY 241121 300  224000-224500   00     215.87  775.9    211.63    -0.30    -0.30
MEXICOCITY 241121 300  224500-225000   00     214.69  775.9    210.50    -0.83    -0.83
MEXICOCITY 241121 300  225000-225500   00     214.58  775.9    210.39    -0.88    -0.88
MEXICOCITY 241121 300  225500-230000   00     215.70  775.9    211.48    -0.36    -0.36
MEXICOCITY 241121 300  230000-230500   00     214.44  775.9    210.31    -0.92    -0.92
MEXICOCITY 241121 300  230500-231000   00     214.28  776.0    210.24    -0.95    -0.95
MEXICOCITY 241121 300  231000-231500   00     215.19  776.0    211.15    -0.52    -0.52
MEXICOCITY 241121 300  231500-232000   00     213.75  776.0    209.72    -1.19    -1.19
MEXICOCITY 241121 300  232000-232500   00     213.97  776.0    209.95    -1.09    -1.09
MEXICOCITY 241121 300  232500-233000   00     216.94  776.1    212.95     0.33     0.33
MEXICOCITY 241121 300  233000-233500   00     217.30  776.1    213.42     0.55     0.55
MEXICOCITY 241121 300  233500-234000   00     215.62  776.2    211.86    -0.19    -0.19
MEXICOCITY 241121 300  234000-234500   00     215.12  776.3    211.47    -0.37    -0.37
MEXICOCITY 241121 300  234500-235000   00     212.97  776.4    209.50    -1.30    -1.30
MEXICOCITY 241121 300  235000-235500   00     214.20  776.4    210.76    -0.70    -0.70
MEXICOCITY 241121 300  235500-240000   00     213.16  776.4    209.81    -1.15    -1.15
MEXICOCITY 241122 300  000000-000500   00     215.14  776.5    211.84    -0.20    -0.20
MEXICOCITY 241122 300  000500-001000   00     216.25  776.5    212.93     0.32     0.32
MEXICOCITY 241122 300  001000-001500   00     213.48  776.6    210.33    -0.91    -0.91
