MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    138.08      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     241121 300  221000-221500   00     174.68  968.3    139.00     0.67     1.36
MOSCOW     241121 300  221500-222000   00     172.85  968.4    137.66    -0.31     0.38
MOSCOW     241121 300  222000-222500   00     173.20  968.5    138.08     0.00     0.68
MOSCOW     241121 300  222500-223000   00     171.01  968.7    136.47    -1.17    -0.49
MOSCOW     241121 300  223000-223500   00     171.29  968.9    136.91    -0.85    -0.17
MOSCOW     241121 300  223500-224000   00     171.10  969.0    136.91    -0.85    -0.18
MOSCOW     241121 300  224000-224500   00     171.63  969.1    137.41    -0.49     0.18
MOSCOW     241121 300  224500-225000   00     169.73  969.2    135.94    -1.55    -0.89
MOSCOW     241121 300  225000-225500   00     170.27  969.3    136.50    -1.14    -0.49
MOSCOW     241121 300  225500-230000   00     169.76  969.5    136.33    -1.27    -0.63
MOSCOW     241121 300  230000-230500   00     170.49  969.6    137.02    -0.77    -0.14
MOSCOW     241121 300  230500-231000   00     173.16  969.9    139.41     0.96     1.59
MOSCOW     241121 300  231000-231500   00     168.37  970.1    135.79    -1.66    -1.05
MOSCOW     241121 300  231500-232000   00     169.40  970.4    136.85    -0.89    -0.29
MOSCOW     241121 300  232000-232500   00     168.65  970.5    136.39    -1.22    -0.62
MOSCOW     241121 300  232500-233000   00     169.57  970.7    137.30    -0.57     0.02
MOSCOW     241121 300  233000-233500   00     170.92  970.9    138.61     0.38     0.96
MOSCOW     241121 300  233500-234000   00     166.17  971.0    134.90    -2.31    -1.74
