NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     86.37      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     241121 300  233500-234000   00      97.20  995.7     85.10    -1.47    -1.47
NEWARK     241121 300  234000-234500   00      98.87  995.7     86.58     0.25     0.25
NEWARK     241121 300  234500-235000   00      98.65  995.8     86.39     0.03     0.03
NEWARK     241121 300  235000-235500   00      97.82  995.7     85.65    -0.84    -0.84
NEWARK     241121 300  235500-240000   00      97.94  995.7     85.73    -0.74    -0.74
NEWARK     241122 300  000000-000500   00      95.92  995.7     83.94    -2.82    -2.82
NEWARK     241122 300  000500-001000   00      96.67  995.7     84.61    -2.04    -2.04
NEWARK     241122 300  001000-001500   00      98.74  995.7     86.44     0.08     0.08
NEWARK     241122 300  001500-002000   00      98.17  995.7     85.96    -0.48    -0.48
NEWARK     241122 300  002000-002500   00      97.67  995.7     85.53    -0.97    -0.97
NEWARK     241122 300  002500-003000   00      96.28  995.8     84.34    -2.35    -2.35
NEWARK     241122 300  003000-003500   00      97.95  995.8     85.82    -0.63    -0.63
NEWARK     241122 300  003500-004000   00      97.95  995.9     85.88    -0.57    -0.57
NEWARK     241122 300  004000-004500   00      98.35  995.9     86.25    -0.14    -0.14
NEWARK     241122 300  004500-005000   00      98.30  995.9     86.20    -0.20    -0.20
NEWARK     241122 300  005000-005500   00      98.24  995.9     86.15    -0.25    -0.25
NEWARK     241122 300  005500-010000   00      98.64  995.9     86.49     0.14     0.14
NEWARK     241122 300  010000-010500   00      96.24  995.9     84.40    -2.28    -2.28
NEWARK     241122 300  010500-011000   00      98.27  996.0     86.21    -0.18    -0.18
NEWARK     241122 300  011000-011500   00      97.35  996.0     85.42    -1.10    -1.10
NEWARK     241122 300  011500-012000   00      98.79  996.0     86.68     0.36     0.36
NEWARK     241122 300  012000-012500   00      97.76  996.0     85.77    -0.70    -0.70
NEWARK     241122 300  012500-013000   00      96.86  996.0     84.97    -1.62    -1.62
NEWARK     241122 300  013000-013500   00      96.62  996.0     84.75    -1.87    -1.87
NEWARK     241122 300  013500-014000   00      96.36  996.0     84.52    -2.14    -2.14
NEWARK     241122 300  014000-014500   00      97.55  995.9     85.55    -0.95    -0.95
NEWARK     241122 300  014500-015000   00      96.38  995.9     84.50    -2.17    -2.17
NEWARK     241122 300  015000-015500   00      96.11  995.9     84.24    -2.46    -2.46
NEWARK     241122 300  015500-020000   00      95.88  995.8     84.02    -2.72    -2.72
NEWARK     241122 3600 020000-030000   00      97.63  995.7     85.45    -1.07    -9999
NEWARK     241122 3600 030000-040000   00      97.53  995.1     85.03    -1.56    -9999
NEWARK     241122 3600 040000-050000   00      98.53  994.5     85.52    -0.99    -9999
NEWARK     241122 3600 050000-060000   00      99.03  993.9     85.55    -0.95    -9999
NEWARK     241122 3600 060000-070000   00      98.75  993.6     85.16    -1.40    -9999
NEWARK     241122 3600 070000-080000   00      98.63  993.6     85.04    -1.54    -9999
NEWARK     241122 3600 080000-090000   00      98.86  993.4     85.12    -1.45    -9999
NEWARK     241122 3600 090000-100000   00      99.07  993.3     85.21    -1.34    -9999
NEWARK     241122 3600 100000-110000   00      99.39  993.0     85.31    -1.23    -9999
NEWARK     241122 3600 110000-120000   00     100.06  992.8     85.73    -0.74    -9999
NEWARK     241122 3600 120000-130000   00      99.81  992.5     85.33    -1.20    -9999
NEWARK     241122 3600 130000-140000   00     100.33  992.1     85.56    -0.94    -9999
NEWARK     241122 3600 140000-150000   00     100.85  992.1     85.95    -0.48    -9999
NEWARK     241122 3600 150000-160000   00     101.01  991.8     85.96    -0.47    -9999
NEWARK     241122 3600 160000-170000   00     101.73  991.1     86.12    -0.29    -9999
NEWARK     241122 3600 170000-180000   00     102.22  990.5     86.15    -0.26    -9999
NEWARK     241122 3600 180000-190000   00     103.64  990.1     87.06     0.80    -9999
NEWARK     241122 3600 190000-200000   00     103.37  989.7     86.63     0.30    -9999
NEWARK     241122 3600 200000-210000   00     103.80  989.5     86.85     0.56    -9999
NEWARK     241122 3600 210000-220000   00     103.64  989.5     86.69     0.37    -9999
NEWARK     241122 3600 220000-230000   00     103.71  989.6     86.84     0.55    -9999
NEWARK     241122 3600 230000-240000   00     103.65  989.8     86.88     0.59    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076NEWK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
