APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    158.86      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240608 300  054500-055000   00     172.25  988.0    157.97    -0.56    -0.90
APATITY 240608 300  055000-055500   00     173.29  988.0    158.92     0.04    -0.31
APATITY 240608 300  055500-060000   00     175.16  988.0    160.62     1.11     0.76
APATITY 240608 300  060000-060500   00     175.55  987.9    160.95     1.31     0.95
APATITY 240608 300  060500-061000   00     173.43  987.9    159.00     0.09    -0.28
APATITY 240608 300  061000-061500   00     173.77  987.9    159.27     0.26    -0.11
APATITY 240608 300  061500-062000   00     172.91  987.9    158.46    -0.25    -0.63
APATITY 240608 300  062000-062500   00     173.74  987.9    159.24     0.24    -0.14
APATITY 240608 300  062500-063000   00     175.28  987.9    160.68     1.14     0.75
APATITY 240608 300  063000-063500   00     175.81  987.9    161.15     1.44     1.04
APATITY 240608 300  063500-064000   00     173.58  987.9    159.09     0.15    -0.26
APATITY 240608 300  064000-064500   00     174.58  987.9    160.05     0.75     0.34
APATITY 240608 300  064500-065000   00     173.06  988.0    158.71    -0.09    -0.51
APATITY 240608 300  065000-065500   00     173.47  988.0    159.12     0.17    -0.26
APATITY 240608 300  065500-070000   00     173.54  988.0    159.21     0.22    -0.21
APATITY 240608 300  070000-070500   00     173.03  988.0    158.72    -0.09    -0.52
APATITY 240608 300  070500-071000   00     174.87  988.0    160.35     0.94     0.50
APATITY 240608 300  071000-071500   00     171.71  988.0    157.45    -0.88    -1.33
APATITY 240608 300  071500-072000   00     174.50  987.9    160.00     0.72     0.27
APATITY 240608 300  072000-072500   00     176.70  987.9    162.01     1.98     1.52
APATITY 240608 300  072500-073000   00     173.89  987.9    159.39     0.33    -0.13
APATITY 240608 300  073000-073500   00     173.71  987.9    159.22     0.23    -0.24
APATITY 240608 300  073500-074000   00     173.42  987.9    158.93     0.05    -0.43
APATITY 240608 300  074000-074500   00     172.80  987.9    158.33    -0.33    -0.82
APATITY 240608 300  074500-075000   00     175.26  987.9    160.61     1.10     0.61
APATITY 240608 300  075000-075500   00     173.25  987.9    158.75    -0.07    -0.56
APATITY 240608 300  075500-080000   00     174.38  987.8    159.77     0.57     0.07
APATITY 240608 300  080000-080500   00     173.71  987.8    159.16     0.19    -0.32
APATITY 240608 300  080500-081000   00     173.76  987.9    159.24     0.24    -0.28
APATITY 240608 300  081000-081500   00     173.43  987.9    159.00     0.09    -0.43
APATITY 240608 300  081500-082000   00     172.92  988.0    158.59    -0.17    -0.70
APATITY 240608 300  082000-082500   00     172.98  988.0    158.66    -0.12    -0.66
APATITY 240608 300  082500-083000   00     172.90  988.0    158.61    -0.16    -0.69
APATITY 240608 300  083000-083500   00     173.21  988.0    158.89     0.02    -0.53
APATITY 240608 300  083500-084000   00     172.04  988.0    157.78    -0.68    -1.23
APATITY 240608 300  084000-084500   00     173.45  988.0    159.05     0.12    -0.44
APATITY 240608 300  084500-085000   00     171.85  988.0    157.58    -0.80    -1.37
APATITY 240608 300  085000-085500   00     176.48  988.0    161.83     1.87     1.30
APATITY 240608 300  085500-090000   00     173.67  988.0    159.27     0.26    -0.32
APATITY 240608 300  090000-090500   00     172.47  988.0    158.20    -0.42    -1.00
APATITY 240608 300  090500-091000   00     173.96  988.0    159.57     0.45    -0.14
APATITY 240608 300  091000-091500   00     172.40  988.0    158.18    -0.43    -1.02
APATITY 240608 300  091500-092000   00     173.82  988.0    159.48     0.39    -0.21
APATITY 240608 300  092000-092500   00     175.19  988.0    160.72     1.17     0.57
APATITY 240608 300  092500-093000   00     172.48  988.0    158.23    -0.40    -1.01
APATITY 240608 300  093000-093500   00     173.12  988.0    158.77    -0.05    -0.67
APATITY 240608 300  093500-094000   00     175.68  987.9    161.06     1.38     0.76
APATITY 240608 300  094000-094500   00     173.76  987.9    159.29     0.27    -0.36
APATITY 240608 300  094500-095000   00     173.81  987.9    159.32     0.29    -0.34
APATITY 240608 300  095000-095500   00     172.76  987.9    158.35    -0.32    -0.96
APATITY 240608 300  095500-100000   00     172.18  987.9    157.85    -0.64    -1.28
APATITY 240608 300  100000-100500   00     175.38  987.9    160.75     1.19     0.54
APATITY 240608 300  100500-101000   00     173.86  987.9    159.33     0.30    -0.36
APATITY 240608 300  101000-101500   00     174.80  987.9    160.22     0.85     0.19
APATITY 240608 300  101500-102000   00     174.73  987.9    160.12     0.79     0.12
APATITY 240608 300  102000-102500   00     173.76  987.8    159.20     0.22    -0.46
