SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    124.67      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240608 300  091000-091500   00     133.94  671.4    125.72     0.84    -0.50
SOPO-6NM64 240608 300  091500-092000   00     135.04  671.5    126.84     1.74     0.38
SOPO-6NM64 240608 300  092000-092500   00     133.81  671.6    125.78     0.89    -0.49
SOPO-6NM64 240608 300  092500-093000   00     133.42  671.6    125.43     0.61    -0.78
SOPO-6NM64 240608 300  093000-093500   00     134.21  671.6    126.14     1.18    -0.22
SOPO-6NM64 240608 300  093500-094000   00     133.43  671.6    125.47     0.64    -0.78
SOPO-6NM64 240608 300  094000-094500   00     134.80  671.7    126.79     1.70     0.27
SOPO-6NM64 240608 300  094500-095000   00     133.69  671.7    125.79     0.90    -0.55
SOPO-6NM64 240608 300  095000-095500   00     133.92  671.8    126.07     1.12    -0.34
SOPO-6NM64 240608 300  095500-100000   00     134.01  671.8    126.21     1.24    -0.24
SOPO-6NM64 240608 300  100000-100500   00     134.48  671.9    126.73     1.65     0.16
SOPO-6NM64 240608 300  100500-101000   00     133.07  672.0    125.43     0.60    -0.90
SOPO-6NM64 240608 300  101000-101500   00     133.91  672.0    126.23     1.25    -0.27
SOPO-6NM64 240608 300  101500-102000   00     133.26  672.0    125.62     0.76    -0.77
SOPO-6NM64 240608 300  102000-102500   00     134.22  672.0    126.52     1.48    -0.06
SOPO-6NM64 240608 300  102500-103000   00     132.90  672.0    125.29     0.49    -1.07
SOPO-6NM64 240608 300  103000-103500   00     133.19  672.0    125.55     0.70    -0.87
SOPO-6NM64 240608 300  103500-104000   00     132.53  672.0    124.92     0.20    -1.39
