TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    986.42  MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    107.55      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 240608 300  072000-072500   00     119.40  970.7    106.15    -1.30    -1.01
TERREADELI 240608 300  072500-073000   00     118.53  970.7    105.34    -2.05    -1.75
TERREADELI 240608 300  073000-073500   00     120.07  970.6    106.64    -0.84    -0.54
TERREADELI 240608 300  073500-074000   00     120.87  970.5    107.28    -0.24     0.07
TERREADELI 240608 300  074000-074500   00     119.80  970.6    106.36    -1.10    -0.78
TERREADELI 240608 300  074500-075000   00     118.40  970.5    105.09    -2.28    -1.94
TERREADELI 240608 300  075000-075500   00     121.27  970.6    107.66     0.11     0.45
TERREADELI 240608 300  075500-080000   00     120.67  970.6    107.13    -0.39    -0.03
TERREADELI 240608 300  080000-080500   00     120.40  970.6    106.91    -0.59    -0.22
TERREADELI 240608 300  080500-081000   00     120.00  970.4    106.43    -1.04    -0.66
TERREADELI 240608 300  081000-081500   00     122.73  970.5    108.88     1.24     1.62
TERREADELI 240608 300  081500-082000   00     119.80  970.3    106.15    -1.30    -0.90
TERREADELI 240608 300  082000-082500   00     121.67  970.4    107.87     0.30     0.70
TERREADELI 240608 300  082500-083000   00     121.40  970.3    107.61     0.06     0.47
TERREADELI 240608 300  083000-083500   00     120.67  970.4    107.00    -0.51    -0.08
TERREADELI 240608 300  083500-084000   00     121.93  970.5    108.21     0.62     1.05
TERREADELI 240608 300  084000-084500   00     119.73  970.5    106.26    -1.20    -0.75
TERREADELI 240608 300  084500-085000   00     119.80  970.4    106.23    -1.22    -0.76
TERREADELI 240608 300  085000-085500   00     120.27  970.3    106.61    -0.88    -0.41
TERREADELI 240608 300  085500-090000   00     120.53  970.3    106.82    -0.68    -0.19
TERREADELI 240608 300  090000-090500   00     123.13  970.3    109.10     1.45     1.94
TERREADELI 240608 300  090500-091000   00     122.07  970.2    108.11     0.53     1.03
TERREADELI 240608 300  091000-091500   00     120.93  970.3    107.17    -0.35     0.17
TERREADELI 240608 300  091500-092000   00     119.00  970.3    105.44    -1.96    -1.43
TERREADELI 240608 300  092000-092500   00     120.93  970.2    107.11    -0.41     0.13
