Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    196.03      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort-SMITH 240608 300  084500-085000   00     224.58  993.7    194.49    -0.79    -0.48
Fort-SMITH 240608 300  085000-085500   00     227.05  993.7    196.70     0.34     0.65
Fort-SMITH 240608 300  085500-090000   00     223.95  993.8    194.09    -0.99    -0.67
Fort-SMITH 240608 300  090000-090500   00     223.45  993.8    193.73    -1.17    -0.85
Fort-SMITH 240608 300  090500-091000   00     226.39  993.8    196.30     0.14     0.47
Fort-SMITH 240608 300  091000-091500   00     226.48  993.9    196.41     0.19     0.53
Fort-SMITH 240608 300  091500-092000   00     224.07  993.9    194.37    -0.84    -0.50
Fort-SMITH 240608 300  092000-092500   00     224.36  993.9    194.66    -0.70    -0.35
Fort-SMITH 240608 300  092500-093000   00     223.21  994.0    193.75    -1.16    -0.81
Fort-SMITH 240608 300  093000-093500   00     224.91  994.0    195.25    -0.40    -0.04
Fort-SMITH 240608 300  093500-094000   00     225.15  994.1    195.53    -0.25     0.11
Fort-SMITH 240608 300  094000-094500   00     222.62  994.1    193.37    -1.36    -0.99
Fort-SMITH 240608 300  094500-095000   00     224.29  994.1    194.91    -0.57    -0.20
Fort-SMITH 240608 300  095000-095500   00     225.68  994.2    196.24     0.11     0.49
Fort-SMITH 240608 300  095500-100000   00     225.06  994.3    195.87    -0.08     0.30
Fort-SMITH 240608 300  100000-100500   00     222.65  994.4    193.93    -1.07    -0.68
Fort-SMITH 240608 300  100500-101000   00     224.33  994.5    195.50    -0.27     0.13
Fort-SMITH 240608 300  101000-101500   00     221.60  994.5    193.14    -1.48    -1.08
Fort-SMITH 240608 300  101500-102000   00     223.08  994.6    194.48    -0.79    -0.38
Fort-SMITH 240608 300  102000-102500   00     223.29  994.6    194.74    -0.66    -0.25
Fort-SMITH 240608 300  102500-103000   00     225.04  994.6    196.26     0.12     0.53
Fort-SMITH 240608 300  103000-103500   00     222.79  994.6    194.27    -0.90    -0.48
Fort-SMITH 240608 300  103500-104000   00     223.30  994.7    194.86    -0.59    -0.17
Fort-SMITH 240608 300  104000-104500   00     221.96  994.7    193.70    -1.19    -0.76
Fort-SMITH 240608 300  104500-105000   00     221.61  994.8    193.50    -1.29    -0.85
Fort-SMITH 240608 300  105000-105500   00     222.76  994.9    194.62    -0.72    -0.27
Fort-SMITH 240608 300  105500-110000   00     221.69  994.9    193.79    -1.14    -0.69
Fort-SMITH 240608 300  110000-110500   00     221.48  995.0    193.75    -1.16    -0.70
Fort-SMITH 240608 300  110500-111000   00     220.34  995.1    192.88    -1.61    -1.14
Fort-SMITH 240608 300  111000-111500   00     221.25  995.2    193.76    -1.16    -0.69
Fort-SMITH 240608 300  111500-112000   00     221.19  995.3    193.92    -1.08    -0.60
Fort-SMITH 240608 300  112000-112500   00     222.46  995.4    195.17    -0.44    -9999
Fort-SMITH 240608 300  112500-113000   00     222.46  995.5    195.26    -0.39    -9999
Fort-SMITH 240608 300  113000-113500   00     222.85  995.5    195.70    -0.17    -9999
Fort-SMITH 240608 300  113500-114000   00     221.33  995.6    194.46    -0.80    -9999
Fort-SMITH 240608 300  114000-114500   00     220.80  995.7    194.14    -0.96    -9999
Fort-SMITH 240608 300  114500-115000   00     221.43  995.7    194.72    -0.67    -9999
Fort-SMITH 240608 300  115000-115500   00     221.25  995.7    194.54    -0.76    -9999
Fort-SMITH 240608 300  115500-120000   00     221.11  995.8    194.56    -0.75    -9999
Fort-SMITH 240608 3600 120000-130000   00     221.19  996.1    195.07    -0.49    -9999
Fort-SMITH 240608 3600 130000-140000   00     220.73  996.6    195.42    -0.31    -9999
Fort-SMITH 240608 3600 140000-150000   00     219.81  997.1    195.23    -0.41    -9999
Fort-SMITH 240608 3600 150000-160000   00     219.84  997.3    195.58    -0.23    -9999
Fort-SMITH 240608 3600 160000-170000   00     219.09  998.0    196.00    -0.02    -9999
Fort-SMITH 240608 3600 170000-180000   00     218.90  998.5    196.55     0.26    -9999
Fort-SMITH 240608 3600 180000-190000   00     218.80  999.0    197.15     0.57    -9999
Fort-SMITH 240608 3600 190000-200000   00     218.44  999.4    197.38     0.69    -9999
Fort-SMITH 240608 3600 200000-210000   00     217.31  999.8    196.96     0.48    -9999
Fort-SMITH 240608 3600 210000-220000   00     216.81 1000.3    197.29     0.64    -9999
Fort-SMITH 240608 3600 220000-230000   00     217.48 1000.5    198.19     1.10    -9999
Fort-SMITH 240608 3600 230000-240000   00     217.96 1000.5    198.65     1.34    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075FSMT_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
